ID,Familia,Género,Especie,NOMBRE_COMPLETO,Código de especie
1,ACTINIDIACEAE,Saurauia,montana,Saurauia montana,SAURMO
2,ADOXACEAE,Viburnum,venustum,Viburnum venustum,VIBUVE
3,ALZATEACEAE,Alzatea,verticillata,Alzatea verticillata,ALZAVE
4,ANACARDIACEAE,Mauria,heterophylla,Mauria heterophylla,MAURHE
5,ANACARDIACEAE,Tapirira,guianensis,Tapirira guianensis,TAPIGU
6,ANACARDIACEAE,Tapirira,mexicana,Tapirira mexicana,TAPIME
7,ANNONACEAE,Anaxagorea,crassipetala,Anaxagorea crassipetala,ANAXCR
8,ANNONACEAE,Annona,amazonica,Annona amazonica,ANNOAM
9,ANNONACEAE,Annona,montana,Annona montana,ANNOMO
10,ANNONACEAE,Guatteria,aeruginosa,Guatteria aeruginosa,GUATAE
11,ANNONACEAE,Guatteria,costaricensis,Guatteria costaricensis,GUATCO
12,ANNONACEAE,Guatteria,oliviformis,Guatteria oliviformis,GUATOL
15,ANNONACEAE,Guatteria,tenera,Guatteria tenera,GUATTE
16,ANNONACEAE,Unonopsis,costaricensis,Unonopsis costaricensis,UNONCO
17,ANNONACEAE,Unonopsis,pittieri,Unonopsis pittieri,UNONPI
18,APOCYNACEAE,Aspidosperma,spruceanum,Aspidosperma spruceanum,ASPISR
19,APOCYNACEAE,Rauvolfia,aphlebia,Rauvolfia aphlebia,RAUVAF
20,APOCYNACEAE,Tabernaemontana,arborea,Tabernaemontana arborea,TABRAR
21,AQUIFOLIACEAE,Ilex,lamprophylla,Ilex lamprophylla,ILEXLA
22,AQUIFOLIACEAE,Ilex,pallida,Ilex pallida,ILEXPA
23,ARALIACEAE,Dendropanax,arboreus,Dendropanax arboreus,DENDAR
24,ARALIACEAE,Dendropanax,caucanus,Dendropanax caucanus,DENDCA
25,ARALIACEAE,Dendropanax,gonatopodus,Dendropanax gonatopodus,DENDGN
26,ARALIACEAE,Dendropanax,querceti,Dendropanax querceti,DENDQU
29,ARALIACEAE,Oreopanax,echinops,Oreopanax echinops,OREPEC
30,ARALIACEAE,Oreopanax,xalapensis,Oreopanax xalapensis,OREPXA
31,ARALIACEAE,Schefflera,rodriguesiana,Schefflera rodriguesiana,SCHERO
34,ARECACEAE,Euterpe,precatoria,Euterpe precatoria,EUTEPR
35,ARECACEAE,Geonoma,interrupta,Geonoma interrupta,GEONIN
36,ARECACEAE,Iriartea,deltoidea,Iriartea deltoidea,IRIADE
37,ARECACEAE,Socratea,exorrhiza,Socratea exorrhiza,SOCREX
38,ARECACEAE,Welfia,regia,Welfia regia,WELFRE
39,BIGNONIACEAE,Tabebuia,chrysantha,Tabebuia chrysantha,TABECH
40,BOMBACACEAE,Pachira,aquatica,Pachira aquatica,PACHAQ
41,BOMBACACEAE,Quararibea,bracteolosa,Quararibea bracteolosa,QUARBR
42,BOMBACACEAE,Quararibea,obliquifolia,Quararibea obliquifolia,QUAROB
43,BOMBACACEAE,Quararibea,ochrocalyx,Quararibea ochrocalyx,QUAROC
44,BOMBACACEAE,Quararibea,parvifolia,Quararibea parvifolia,QUARPA
45,BORAGINACEAE,Cordia,croatii,Cordia croatii,CORDCR
46,BORAGINACEAE,Cordia,cymosa,Cordia cymosa,CORDCY
47,BORAGINACEAE,Cordia,dwyeri,Cordia dwyeri,CORDDW
48,BORAGINACEAE,Cordia,lucidula,Cordia lucidula,CORDLU
50,BRUNELLIACEAE,Brunellia,costaricensis,Brunellia costaricensis,BRUNCO
52,BURSERACEAE,Protium,confusum,Protium confusum,PROTCN
53,BURSERACEAE,Protium,costaricense,Protium costaricense,PROTCO
54,BURSERACEAE,Protium,panamense,Protium panamense,PROTPA
55,BURSERACEAE,Protium,pittieri,Protium pittieri,PROTPI
56,BURSERACEAE,Protium,ravenii,Protium ravenii,PROTRA
57,BURSERACEAE,Tetragastris,panamensis,Tetragastris panamensis,TETRPA
58,CAPRIFOLIACEAE,Viburnum,costaricanum,Viburnum costaricanum,VIBUCO
59,CECROPIACEAE,Cecropia,angustifolia,Cecropia angustifolia,CECRAN
60,CECROPIACEAE,Cecropia,insignis,Cecropia insignis,CECRIN
61,CECROPIACEAE,Coussapoa,parviceps,Coussapoa parviceps,COUAPA
62,CECROPIACEAE,Pourouma,bicolor,Pourouma bicolor,POURBI
63,CECROPIACEAE,Pourouma,minor,Pourouma minor,POURMI
64,CELASTRACEAE,Maytenus,guyanensis,Maytenus guyanensis,MAYTGU
65,CELASTRACEAE,Microtropis,occidentalis,Microtropis occidentalis,MICTOC
66,CELASTRACEAE,Perrottetia,longistylis,Perrottetia longistylis,PERRLO
67,CELASTRACEAE,Perrottetia,sessiliflora,Perrottetia sessiliflora,PERRSE
68,CELASTRACEAE,Quetzalia,occidentalis,Quetzalia occidentalis,QUETOC
69,CHLORANTHACEAE,Hedyosmum,bonplandianum,Hedyosmum bonplandianum,HEDYBO
70,CHLORANTHACEAE,Hedyosmum,scaberrimum,Hedyosmum scaberrimum,HEDYSC
71,CHRYSOBALANACEAE,Couepia,platycalyx,Couepia platycalyx,COUEPL
72,CHRYSOBALANACEAE,Couepia,polyandra,Couepia polyandra,COUEPO
73,CHRYSOBALANACEAE,Hirtella,media,Hirtella media,HIRTME
74,CHRYSOBALANACEAE,Hirtella,triandra,Hirtella triandra,HIRTTR
75,CHRYSOBALANACEAE,Licania,costaricensis,Licania costaricensis,LICNCO
76,CHRYSOBALANACEAE,Licania,hypoleuca,Licania hypoleuca,LICNHY
77,CHRYSOBALANACEAE,Licania,kallunkiae,Licania kallunkiae,LICNKA
79,CHRYSOBALANACEAE,Maranthes,panamensis,Maranthes panamensis,MARAPA
80,CHRYSOBALANACEAE,Parinari,excelsa,Parinari excelsa,PARIEX
81,CLETHRACEAE,Clethra,consimilis,Clethra consimilis,CLETCN
82,CLETHRACEAE,Clethra,costaricensis,Clethra costaricensis,CLETCO
83,CLETHRACEAE,Clethra,gelida,Clethra gelida,CLETGE
84,CLETHRACEAE,Clethra,pyrogena,Clethra pyrogena,CLETPY
87,CLUSIACEAE,Calophyllum,brasiliense,Calophyllum brasiliense,CALOBR
